id,question,answer
452,What kind of university is the California Institute of Technology?,private
453,How many campuses does the University of California have?,5
454,How many campuses does the California State University have?,12
455,The Los Angeles Rams are an example of what kind of sports team?,NFL
456,The Los Angeles Clippers are a team belonging to which sport?,NBA
457,The Los Angeles Angels of Anaheim are from which sport?,MLB
458,What is the other NHL team aside from the Anaheim Ducks to reside in Southern California?,Los Angeles Kings
459,What is the lone MLS team that belongs to southern California?,LA Galaxy
460,Which team was suspended from the MLS?,Chivas USA
461,How many teams did Los Angeles used to have?,two
462,Which year resulted in the suspension of one of the two soccer teams?,2014
463,What was the name of the stadium that the teams played in?,StubHub Center
464,When is the suspended team scheduled to return?,2018
465,What other kind of sport is popular in southern California?,College
466,The Bruins belong to which college?,UCLA
467,What is the name of the team from USC?,Trojans
468,Which conference do the teams in southern California play in?,Pac-12
469,The two listed teams play for which NCAA group?,Division I
470,What is a growing sport in southern California?,Rugby
471,At which level of education is this sport becoming more popular?,high school
472,What is rugby rapidly becoming with high schools?,an official school sport
473,What company was formed by the merger of Sky Television and British Satellite Broadcasting?,BSkyB
474,Who is the UK's largest digital subscription television company?,BSkyB
475,What year did BSkyB acquire Sky Italia?,2014
476,What is the name of the holding company for BSkyB?,Sky plc
477,What is the name of the United Kingdom operation for BSkyB?,Sky UK Limited
478,What year was Setanta Sports awarded Primeier Leage rights to broadcast?,2006
479,How many of the six total packages available to broadcasters was Setanta awarded?,two
480,Who purhcased the remaining 4 pacakages available to broadcasters?,Sky
481,How much did Sky bid to win the 4 broadcast pacakges they bought?,£1.3bn
482,What consortium was BSkyB excluded from?,ONdigital
483,Who did BSkyB team up with because it was not part of the consortium?,Freeview
484,How many BSkyB channels were available to customers prior to October 2005?,three
